Pavarde             Vardas              Nd1      Nd2      Nd3      Nd4      Nd5      Nd6      Nd7      Egz      
Pavarde1            Vardas1             4        6        8        1        3        3        9        4        
Pavarde2            Vardas2             7        2        5        9        7        6        8        2        
Pavarde3            Vardas3             1        9        2        9        7        9        10       6        
Pavarde4            Vardas4             7        5        3        7        7        7        10       6        
Pavarde5            Vardas5             5        1        2        3        10       4        8        3        
Pavarde6            Vardas6             3        9        7        10       2        5        2        5        
Pavarde7            Vardas7             3        3        5        7        9        7        6        6        
Pavarde8            Vardas8             8        10       8        3        1        6        6        5        
Pavarde9            Vardas9             8        9        8        4        1        3        2        10       
Pavarde10           Vardas10            10       4        5        4        8        9        3        5        
Pavarde11           Vardas11            9        4        8        7        3        4        6        5        
Pavarde12           Vardas12            3        3        7        3        6        10       2        9        
Pavarde13           Vardas13            2        10       10       8        9        5        8        10       
Pavarde14           Vardas14            4        3        4        4        4        8        9        7        
Pavarde15           Vardas15            8        9        3        10       5        9        5        7        
Pavarde16           Vardas16            8        10       5        7        9        2        1        3        
Pavarde17           Vardas17            7        5        7        10       2        5        1        3        
Pavarde18           Vardas18            5        8        6        1        1        7        1        6        
Pavarde19           Vardas19            9        1        8        8        8        4        7        6        
Pavarde20           Vardas20            9        9        2        10       10       9        3        5        
Pavarde21           Vardas21            8        2        3        2        4        4        6        7        
Pavarde22           Vardas22            8        8        4        3        2        6        8        7        
Pavarde23           Vardas23            10       8        3        8        8        2        2        7        
Pavarde24           Vardas24            5        10       4        7        5        2        4        6        
Pavarde25           Vardas25            4        2        4        3        6        5        7        7        
Pavarde26           Vardas26            6        6        8        9        2        9        9        9        
Pavarde27           Vardas27            1        7        10       4        4        10       5        4        
Pavarde28           Vardas28            5        10       4        6        6        7        8        10       
Pavarde29           Vardas29            8        2        2        4        1        5        3        2        
Pavarde30           Vardas30            6        2        5        3        1        1        2        8        
Pavarde31           Vardas31            4        10       3        1        3        5        4        10       
Pavarde32           Vardas32            2        4        1        10       10       5        6        3        
Pavarde33           Vardas33            1        10       2        2        3        10       4        1        
Pavarde34           Vardas34            7        8        1        10       7        5        3        10       
Pavarde35           Vardas35            3        8        5        1        2        10       1        1        
Pavarde36           Vardas36            2        9        9        6        1        3        8        4        
Pavarde37           Vardas37            6        5        4        6        2        7        2        1        
Pavarde38           Vardas38            10       10       9        9        8        7        7        6        
Pavarde39           Vardas39            4        3        9        6        8        2        7        8        
Pavarde40           Vardas40            7        5        7        1        1        8        10       10       
Pavarde41           Vardas41            1        1        1        6        7        4        9        5        
Pavarde42           Vardas42            1        10       5        6        8        8        4        3        
Pavarde43           Vardas43            5        10       7        1        5        2        4        5        
Pavarde44           Vardas44            7        2        7        2        1        3        10       7        
Pavarde45           Vardas45            8        3        10       9        10       7        5        9        
Pavarde46           Vardas46            4        8        7        7        1        4        9        7        
Pavarde47           Vardas47            7        3        10       5        7        3        2        8        
Pavarde48           Vardas48            5        7        9        1        9        8        9        6        
Pavarde49           Vardas49            8        4        7        3        1        5        6        10       
Pavarde50           Vardas50            9        7        8        3        2        5        10       4        
Pavarde51           Vardas51            2        5        9        5        5        3        8        2        
Pavarde52           Vardas52            9        1        10       5        7        1        5        10       
Pavarde53           Vardas53            10       10       6        9        6        5        1        8        
Pavarde54           Vardas54            3        6        5        6        1        3        3        8        
Pavarde55           Vardas55            9        4        5        5        6        3        7        4        
Pavarde56           Vardas56            2        6        8        10       6        7        9        10       
Pavarde57           Vardas57            8        6        5        2        8        8        6        4        
Pavarde58           Vardas58            6        2        1        10       5        6        7        3        
Pavarde59           Vardas59            1        9        9        7        9        5        8        5        
Pavarde60           Vardas60            3        2        9        8        8        8        10       2        
Pavarde61           Vardas61            7        10       5        4        3        10       3        9        
Pavarde62           Vardas62            2        5        10       3        7        4        6        2        
Pavarde63           Vardas63            9        4        9        10       9        6        8        4        
Pavarde64           Vardas64            10       7        10       3        6        1        6        9        
Pavarde65           Vardas65            6        10       3        8        4        3        2        3        
Pavarde66           Vardas66            1        8        9        10       9        6        3        10       
Pavarde67           Vardas67            7        3        9        9        2        8        4        6        
Pavarde68           Vardas68            2        9        5        8        3        9        4        6        
Pavarde69           Vardas69            8        5        1        4        1        10       7        6        
Pavarde70           Vardas70            9        10       7        10       3        10       10       10       
Pavarde71           Vardas71            8        3        5        1        4        4        7        6        
Pavarde72           Vardas72            1        2        8        7        1        8        3        6        
Pavarde73           Vardas73            6        10       6        9        9        3        2        5        
Pavarde74           Vardas74            8        9        6        6        7        6        5        9        
Pavarde75           Vardas75            10       7        5        8        1        3        2        4        
Pavarde76           Vardas76            4        2        10       5        5        6        10       1        
Pavarde77           Vardas77            2        5        4        10       3        8        3        3        
Pavarde78           Vardas78            4        9        4        3        1        1        9        10       
Pavarde79           Vardas79            2        9        7        6        9        5        3        1        
Pavarde80           Vardas80            3        8        8        5        5        5        1        9        
Pavarde81           Vardas81            9        2        8        4        5        9        9        8        
Pavarde82           Vardas82            7        2        10       1        1        4        10       4        
Pavarde83           Vardas83            6        9        8        4        3        6        2        8        
Pavarde84           Vardas84            9        7        7        10       2        1        10       1        
Pavarde85           Vardas85            6        7        4        8        10       5        2        2        
Pavarde86           Vardas86            5        2        9        2        9        4        8        8        
Pavarde87           Vardas87            2        7        7        4        8        4        2        8        
Pavarde88           Vardas88            2        6        7        7        2        4        9        10       
Pavarde89           Vardas89            10       8        5        6        4        6        3        10       
Pavarde90           Vardas90            7        7        1        8        1        7        6        10       
Pavarde91           Vardas91            1        2        8        4        8        5        3        1        
Pavarde92           Vardas92            6        3        8        4        2        3        2        2        
Pavarde93           Vardas93            5        7        10       8        1        4        10       8        
Pavarde94           Vardas94            7        3        6        2        8        9        8        10       
Pavarde95           Vardas95            8        1        5        1        2        4        5        10       
Pavarde96           Vardas96            7        3        5        9        10       4        4        6        
Pavarde97           Vardas97            8        10       10       6        10       4        5        1        
Pavarde98           Vardas98            3        5        6        2        9        2        2        2        
Pavarde99           Vardas99            9        6        4        7        1        3        3        1        
Pavarde100          Vardas100           6        2        8        9        2        6        7        4        
Pavarde101          Vardas101           7        6        2        2        2        3        2        10       
Pavarde102          Vardas102           9        8        9        1        6        8        8        3        
Pavarde103          Vardas103           3        8        8        2        5        5        2        7        
Pavarde104          Vardas104           2        6        7        8        3        8        6        8        
Pavarde105          Vardas105           6        9        3        3        1        2        4        4        
Pavarde106          Vardas106           3        6        9        9        8        6        5        8        
Pavarde107          Vardas107           8        1        5        6        10       8        3        3        
Pavarde108          Vardas108           10       7        5        7        8        4        2        3        
Pavarde109          Vardas109           5        2        6        7        2        5        6        8        
Pavarde110          Vardas110           5        3        4        4        8        2        5        4        
Pavarde111          Vardas111           4        6        1        6        3        1        6        1        
Pavarde112          Vardas112           2        2        8        3        2        6        3        5        
Pavarde113          Vardas113           1        1        3        7        5        3        8        1        
Pavarde114          Vardas114           4        9        8        8        4        8        8        6        
Pavarde115          Vardas115           7        10       6        10       10       2        1        10       
Pavarde116          Vardas116           5        6        5        5        7        1        9        4        
Pavarde117          Vardas117           9        8        2        7        8        2        9        3        
Pavarde118          Vardas118           7        7        2        5        5        3        7        10       
Pavarde119          Vardas119           1        1        3        4        7        3        3        5        
Pavarde120          Vardas120           1        5        5        10       5        8        2        6        
Pavarde121          Vardas121           4        7        2        7        7        1        3        4        
Pavarde122          Vardas122           4        5        10       4        6        3        7        8        
Pavarde123          Vardas123           3        9        5        10       2        10       2        1        
Pavarde124          Vardas124           5        7        9        5        9        3        9        6        
Pavarde125          Vardas125           6        3        9        8        1        10       3        9        
Pavarde126          Vardas126           7        4        8        4        3        3        5        4        
Pavarde127          Vardas127           6        4        3        10       5        10       8        8        
Pavarde128          Vardas128           6        10       1        5        9        8        10       3        
Pavarde129          Vardas129           6        5        2        10       7        2        9        7        
Pavarde130          Vardas130           6        7        2        4        3        7        2        4        
Pavarde131          Vardas131           3        5        5        9        10       1        3        7        
Pavarde132          Vardas132           4        5        5        1        6        6        6        4        
Pavarde133          Vardas133           2        3        9        2        6        7        5        9        
Pavarde134          Vardas134           1        6        7        2        7        6        1        6        
Pavarde135          Vardas135           2        5        2        8        3        4        9        1        
Pavarde136          Vardas136           4        3        8        9        2        8        6        3        
Pavarde137          Vardas137           10       7        5        4        4        8        4        10       
Pavarde138          Vardas138           1        2        7        5        5        7        9        6        
Pavarde139          Vardas139           1        2        3        10       2        5        9        4        
Pavarde140          Vardas140           3        2        10       2        1        1        5        8        
Pavarde141          Vardas141           7        3        3        1        10       6        6        2        
Pavarde142          Vardas142           7        2        3        4        9        3        8        6        
Pavarde143          Vardas143           7        5        8        1        6        7        8        6        
Pavarde144          Vardas144           8        7        2        3        5        7        8        3        
Pavarde145          Vardas145           9        8        5        2        3        6        10       3        
Pavarde146          Vardas146           3        10       3        3        8        2        5        5        
Pavarde147          Vardas147           6        7        1        8        2        3        5        3        
Pavarde148          Vardas148           2        6        9        1        7        10       8        5        
Pavarde149          Vardas149           3        8        5        10       4        1        7        10       
Pavarde150          Vardas150           1        4        3        3        10       2        9        2        
Pavarde151          Vardas151           3        3        3        6        2        5        3        10       
Pavarde152          Vardas152           7        1        2        1        8        4        4        8        
Pavarde153          Vardas153           3        3        9        10       1        8        8        3        
Pavarde154          Vardas154           6        3        5        7        6        9        9        4        
Pavarde155          Vardas155           4        6        5        9        2        3        6        4        
Pavarde156          Vardas156           8        8        6        2        6        8        9        5        
Pavarde157          Vardas157           4        1        4        6        10       7        7        5        
Pavarde158          Vardas158           10       6        9        6        4        10       1        4        
Pavarde159          Vardas159           7        9        4        7        2        9        3        3        
Pavarde160          Vardas160           8        7        4        4        6        10       1        8        
Pavarde161          Vardas161           4        5        6        5        10       7        10       2        
Pavarde162          Vardas162           7        6        10       4        8        2        10       10       
Pavarde163          Vardas163           3        10       5        7        1        3        4        9        
Pavarde164          Vardas164           10       6        4        6        2        2        4        10       
Pavarde165          Vardas165           2        3        6        8        3        8        7        6        
Pavarde166          Vardas166           7        1        8        7        6        4        7        10       
Pavarde167          Vardas167           9        7        8        1        5        10       6        5        
Pavarde168          Vardas168           10       8        1        3        1        6        8        1        
Pavarde169          Vardas169           4        9        3        2        10       1        10       10       
Pavarde170          Vardas170           4        6        1        8        4        5        9        7        
Pavarde171          Vardas171           6        6        4        2        1        8        10       9        
Pavarde172          Vardas172           2        7        4        3        6        3        8        6        
Pavarde173          Vardas173           4        7        7        2        1        10       8        5        
Pavarde174          Vardas174           5        3        5        2        10       1        4        6        
Pavarde175          Vardas175           6        2        9        9        9        10       8        1        
Pavarde176          Vardas176           1        10       6        4        1        5        7        2        
Pavarde177          Vardas177           1        9        1        10       9        4        1        1        
Pavarde178          Vardas178           5        3        9        1        3        4        6        1        
Pavarde179          Vardas179           1        4        3        7        9        3        8        5        
Pavarde180          Vardas180           7        1        2        2        1        7        8        10       
Pavarde181          Vardas181           6        10       2        4        6        9        2        2        
Pavarde182          Vardas182           8        6        7        3        9        1        6        6        
Pavarde183          Vardas183           5        6        6        9        1        2        7        8        
Pavarde184          Vardas184           10       7        1        9        4        6        8        10       
Pavarde185          Vardas185           5        9        9        9        7        8        5        1        
Pavarde186          Vardas186           9        4        3        9        8        8        9        4        
Pavarde187          Vardas187           4        1        4        1        2        3        9        3        
Pavarde188          Vardas188           1        6        7        8        3        6        5        2        
Pavarde189          Vardas189           7        5        10       3        6        6        5        1        
Pavarde190          Vardas190           6        5        8        1        7        1        8        8        
Pavarde191          Vardas191           1        8        10       8        3        8        2        3        
Pavarde192          Vardas192           8        9        4        2        8        10       3        5        
Pavarde193          Vardas193           1        5        7        2        1        9        1        5        
Pavarde194          Vardas194           7        6        3        1        2        1        8        6        
Pavarde195          Vardas195           4        8        3        1        3        5        7        2        
Pavarde196          Vardas196           7        6        9        2        1        8        5        2        
Pavarde197          Vardas197           4        10       8        9        2        1        2        9        
Pavarde198          Vardas198           6        7        10       10       2        8        5        3        
Pavarde199          Vardas199           5        6        10       6        6        9        8        4        
Pavarde200          Vardas200           3        1        2        5        7        10       1        8        
Pavarde201          Vardas201           8        8        5        2        2        6        5        1        
Pavarde202          Vardas202           1        9        3        10       6        7        1        6        
Pavarde203          Vardas203           5        2        6        7        9        9        10       8        
